"Model Version","Organism Name","Year","Genes","Reactions","Metabolites","Reference","Path","Type"
"AbyMBEL891","Acinetobacter baumannii AYE ",2008,650,891,701,"Durot et al., 2008","Sample Models and Papers\\Acinetobacter baumannii","sbml"
"AraGEM","Arabidopis thaliana",2009,0,1406,1253,"Poolman et al., 2009","Sample Models and Papers\\Arabidopsis thaliana","sbml"
"iHD666","Aspergillus nidulans FGSC A4",2008,666,1213,732,"David et al., 2008","Sample Models and Papers\\Aspergillus nidulans","sbml"
"iMA871","Aspergillus niger CBS 513.88",2008,871,2240,1045,"Andersen et al., 2008","Sample Models and Papers\\Aspergillus niger","sbml"
"AORYZAE","Aspergillus oryzae RIB40",2008,1314,2127,1073,"Vongsangnak et al., 2008","Sample Models and Papers\\Aspergillus oryzae","sbml"
"iYO844","Bacillus subtilis 168",2007,844,1245,988,"Oh et al., 2007","Sample Models and Papers\\Bacillus subtilis","sbml"
"iBsu1103","Bacillus subtilis 168",2009,1103,1437,1138,"Henry et al., 2009","Sample Models and Papers\\Bacillus subtilis","sbml"
"iRC1080","Chlamydomonas reinhardtii",2009,0,484,458,"Boyle and Morgan, 2009","Sample Models and Papers\\Chlamydomonas reinhardtii","sbml"
"1475S1","Corynebacterium glutamicum ",2009,0,446,411,"Kjeldsen and Nielsen, 2009","Sample Models and Papers\\Corynebacterium glutamicum",
"iCA1273","Escherichia coli K-12 MG1655",2000,660,627,438,"Edwards and Palsson, 2000","Sample Models and Papers\\E. Coli",
"iJR904","Escherichia coli K-12 MG1655",2003,904,931,625,"Reed et al., 2003","Sample Models and Papers\\E. Coli","sbml"
"iJO1366","Escherichia coli K-12 MG1655",2006,0,873,518,"Henry et al., 2006","Sample Models and Papers\\E. Coli","sbml"
"iAF1260","Escherichia coli K-12 MG1655",2007,1260,2077,1039,"Feist et al., 2007","Sample Models and Papers\\E. Coli","sbml"
"None","Geobacter sulfurreducens PCA",2006,588,522,541,"Mahadevan et al., 2006","Sample Models and Papers\\E. Coli",
"iCS291","Helicobacter pylori 26695",2002,291,388,403,"Schilling et al., 2002","Sample Models and Papers\\Helicobacter pylori",
"iIT341","Helicobacter pylori 26695",2005,341,476,485,"Thiele et al., 2005","Sample Models and Papers\\Helicobacter pylori","sbml"
"Recon 1","Homo sapiens",2007,1496,3311,2712,"Duarte et al., 2007","Sample Models and Papers\\Homo Sapiens","sbml"
"iAC560","Leishmania major Friedlin",2008,560,1112,1101,"Chavali et al., 2008","Sample Models and Papers\\Leishmania major",
"iAF692","Methanosarcina barkeri",2006,692,619,558,"Feist et al., 2006","Sample Models and Papers\\M.Barkeri",
"GSMmouse190508","Mus musculus",2005,473,1220,979,"Sheikh et al., 2005","Sample Models and Papers\\Mus musculus","sbml"
"iNJ661","Mycobacterium tuberculosis H37Rv",2007,661,939,828,"Jamshidi and Palsson, 2007","Sample Models and Papers\\Mycobacterium tuberculosis","sbml"
"iJN746","Pseudomonas putida KT2440",2008,746,950,911,"Nogales et al., 2008","Sample Models and Papers\\P. putida","sbml"
"iFF708","Saccharomyces cerevisiae",2003,708,1175,584,"Forester et al., 2003","Sample Models and Papers\\Saccharomyces cerevisiae","sbml"
"iND750","Saccharomyces cerevisiae",2004,750,1149,646,"Duarte et al., 2004","Sample Models and Papers\\Saccharomyces cerevisiae",
"iMH805","Saccharomyces cerevisiae",2005,672,1038,636,"Kuepfer et al., 2005","Sample Models and Papers\\Saccharomyces cerevisiae","sbml"
"iMH755","Saccharomyces cerevisiae",2008,832,0,1168,"Herrgard et al., 2008","Sample Models and Papers\\Saccharomyces cerevisiae","sbml"
"ilN800","Saccharomyces cerevisiae",2008,800,1446,1013,"Nookaew et al., 2008","Sample Models and Papers\\Saccharomyces cerevisiae","sbml"
"iRR1083","Salmonella typhimurium LT2",2009,1083,1087,744,"Raghunathan et al., 2009","Sample Models and Papers\\Salmonella typhimurium","sbml"
"iSB619","Staphylococcus aureus N315",2005,619,724,571,"Becker and Palsson, 2005","Sample Models and Papers\\Staphylococcus aureus","sbml"
"iSB619","Staphylococcus aureus ",2009,546,1493,1431,"Lee et al., 2009","Sample Models and Papers\\Staphylococcus aureus","sbml"
"iJN678","Synechocystis sp. PCC 6803",2009,633,831,704,"Fu , 2009 ","Sample Models and Papers\\Synechocystis sp","sbml"
"iZY478","Thermotoga maitima MSB8",2009,478,645,503,"Zhang et al., 2009","Sample Models and Papers\\Thermotoga maritima","sbml"
"VvuMBEL943#","Vibrio vulnificus CMCP6",2011,673,943,765,"Kim et al., 2011","Sample Models and Papers\\Vibrio vulnificus","sbml"
"iPC815","Yersinia pestis biovar Mediaevalis (91001)",2009,818,1020,825,"Navid and Almaas, 2009","Sample Models and Papers\\Yersinia pestis",
