Model Version,Organism Name,Genes,Reactions,Metabolites,Reference,Path,Type,URL
AraGEM,Arabidopsis thaliana,1419,1567,1748,"de Oliveira Dal'Molin et al., 2009",sbml/Arabidopsis thaliana,sbml,http://dx.doi.org/10.1104/pp.109.148817
iBsu1103,Bacillus subtilis 168,1103,1437,1138,"Henry et al., 2009",sbml/Bacillus subtilis,sbml,http://dx.doi.org/10.1186/gb-2009-10-6-r69
iRC1080_autotrophic,Chlamydomonas reinhardtii,1080,2190,1068,"Chang et al., 2011",sbml/Chlamydomonas reinhardtii,sbml,http://dx.doi.org/10.1038/msb.2011.52
iRC1080_heterotrophic,Chlamydomonas reinhardtii,1080,2190,1068,"Chang et al., 2011",sbml/Chlamydomonas reinhardtii,sbml,http://dx.doi.org/10.1038/msb.2011.52
iRC1080_mixotrophic,Chlamydomonas reinhardtii,1080,2190,1068,"Chang et al., 2011",sbml/Chlamydomonas reinhardtii,sbml,http://dx.doi.org/10.1038/msb.2011.52
iCB925,Clostridium beijerinckii NCIMB 8052,925,938,881,"Milne et al., 2011",sbml/Clostridium beijerinckii,sbml,http://dx.doi.org/10.1186/1752-0509-5-130
iAI549,Dehalococcoides ethenogenes,549,518,549,"Islam et al., 2010",sbml/Dehalococcoides ethenogenes,sbml,http://dx.doi.org/10.1371/journal.pcbi.1000887
ecoli_core_model,Escherichia coli,134,95,72,"Orth et al, 2010",sbml/E. Coli,sbml,http://dx.doi.org/10.1128/ecosalplus.10.2.1 
Ec_iAF1260_anaerobic_glc10_acetate,Escherichia coli K-12 MG1655,1260,2077,1039,"Egen and Lun, 2012",sbml/E. Coli,sbml,http://dx.doi.org/10.1093/bioinformatics/bts255
Ec_iAF1260_anaerobic_glc10_succinate,Escherichia coli K-12 MG1655,1260,2077,1039,"Egen and Lun, 2012",sbml/E. Coli,sbml,http://dx.doi.org/10.1093/bioinformatics/bts255
iAF1260,Escherichia coli K-12 MG1655,1260,2077,1039,"Feist et al., 2007",sbml/E. Coli,sbml,http://dx.doi.org/10.1038%2Fmsb4100155
iJO1366,Escherichia coli K-12 MG1655,1366,2251,1136,"Orth et al, 2011",sbml/E. Coli,sbml,http://dx.doi.org/10.1038/msb.2011.65
iJR904,Escherichia coli K-12 MG1655,904,931,625,"Reed et al., 2003",sbml/E. Coli,sbml,http://dx.doi.org/10.1186/gb-2003-4-9-r54
iCA1273,Escherichia coli W (ATCC 9637),1273,2477,1111,"Archer et al., 2011",sbml/E. Coli,sbml,http://dx.doi.org/10.1186/1471-2164-12-9
iIT341,Helicobacter pylori 26695,341,476,485,"Thiele et al., 2005",sbml/Helicobacter pylori,sbml,http://dx.doi.org/10.1128/JB.187.16.5818-5830.2005
iYL1228,Klebsiella pneumoniae MGH 78578,1228,1970,1658,"Liao et al, 2011",sbml/Klebsiella pneumoniae,sbml,http://dx.doi.org/10.1128/JB.01218-10
iAC560,Leishmania major Friedlin,560,1112,1101,"Chivali et al., 2008",sbml/Leishmania major,sbml,http://dx.doi.org/10.1038/msb.2008.15
iNJ661,Mycobacterium tuberculosis H37Rv,661,939,828,"Jamshidi and Palsson, 2007",sbml/Mycobacterium tuberculosis,sbml,http://dx.doi.org/10.1186/1752-0509-1-26
msb201060-s4,Plasmodium falciparum 3D7,366,1001,616,"Plata et al., 2010",sbml/Plasmodium falciparum,sbml,http://dx.doi.org/10.1038/msb.2010.60
iND750,Saccharomyces cerevisiae Sc288,750,1149,646,"Duarte et al., 2004",sbml/Saccharomyces cerevisiae,sbml,http://dx.doi.org/10.1101%2Fgr.2250904
iRR1083,Salmonella typhimurium LT2,1083,1087,744,"Raghunathan et al., 2009",sbml/Salmonella typhimurium,sbml,http://dx.doi.org/10.1186/1752-0509-3-38
iSB619,Staphylococcus aureus N315,619,724,571,"Becker and Palsson, 2005",sbml/Staphylococcus aureus,sbml,http://dx.doi.org/10.1186/1471-2180-5-8
1471-2164-11-202-s2,Streptomyces coelicolor A3(2),789,1015,759,"Alam et al., 2010",sbml/Streptomyces coelicolor,sbml,http://dx.doi.org/10.1186/1471-2164-11-202
1174671 TM_minimal_medium_glc,Thermotoga maritima MSB8,478,562,503,"Zhang et al., 2009",sbml/Thermotoga maritima,sbml,http://dx.doi.org/10.1126/science.1174671
VvuMBEL943,Vibrio vulnificus CMCP6,673,943,792,"Kim et al., 2011",sbml/Vibrio vulnificus,sbml,http://dx.doi.org/10.1038/msb.2010.115
