Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn1,1.1.1.1,geneCsal1426,alcohol dehydrogenase (glycerol), glyald + h + nadh <-> glyc + nad,Glycerolipid Metabolism,"51, 50, 34, 28, 39",,,,
rxn2,1.1.1.1,geneCsal2912,alcohol dehydrogenase (ethanol), etoh + nad <-> acald + h + nadh,Glycerolipid Metabolism,"51, 50, 34, 28, 39",,,,
rxn3,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0), actACP + h + nadph <-> 3haACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn4,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0), 3ohexACP + h + nadph <-> 3hhexACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn5,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0), 3ooctACP + h + nadph <-> 3hoctACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn6,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0), 3odecACP + h + nadph <-> 3hdecACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn7,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0), 3oddecACP + h + nadph <-> 3hddecACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn8,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0), 3omrsACP + h + nadph <-> 3hmrsACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn9,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0), 3opalmACP + h + nadph <-> 3hpalmACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn10,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1), 3ocddec5eACP + h + nadph -> 3hcddec5eACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn11,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1), 3ocmrs7eACP + h + nadph -> 3hcmrs7eACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn12,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1), 3ocpalm9eACP + h + nadph -> 3hcpalm9eACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn13,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1), 3ocvac11eACP + h + nadph -> 3hcvac11eACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn14,1.1.1.100,geneCsal1601,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0), 3ooctdACP + h + nadph <-> 3hoctaACP + nadp,Fatty acid biosynthesis,"51, 50, 33, 34",,,,
rxn15,1.1.1.103,geneCsal0359,L-threonine dehydrogenase, nad + thrL  -> 2aobut + h + nadh,"Glycine, serine and threonine metabolism","51, 50, 33, 34",,,,
rxn16,1.1.1.14,geneCsal0638,L-sorbitol dehydrogenase (L-sorbose-producing), nad + sbtL -> h + nadh + srbL,Fructose and mannose metabolism,"51, 50, 34, 28, 39",,,,
rxn17,1.1.1.14,geneCsal0638,D-sorbitol dehydrogenase (D-fructose producing), nad + sbtD -> fru + h + nadh,Fructose and mannose metabolism,"51, 50, 34, 28, 39",,,,
rxn18,1.1.1.157,geneCsal3173,3-hydroxybutyryl-CoA dehydrogenase,3hbcoa + nadp <-> 3aacoa + nadph,Benzoate degradation via CoA ligation,"52 , 54, 53",,,,
rxn19,1.1.1.158,geneCsal1591,UDP-N-acetylenolpyruvoylglucosamine reductase, h + nadph + uaccg -> nadp + uamr,Aminosugars metabolism,"51, 50, 33, 34,46, 39, 37",,,,
rxn20,1.1.1.16,,Galactitol 2-dehydrogenase, glctt + nad <-> tag + nadh,galactitol degradation ,"5,6,52 , 54, 53,59",,,,
rxn21,1.1.1.169,geneCsal2147,2-dehydropantoate 2-reductase, 2dhp + h + nadph -> nadp + pantR,Pantothenate and CoA biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn22,1.1.1.175,,D-xylose 1-dehydrogenase, xyl + nad <-> xyltn + nadh,,"5,6,59, 52 , 54, 53",,,,
rxn23,1.1.1.18,geneCsal0286,inositol 2-dehydrogenase, inost + nad -> 2ins + h + nadh,Inositol metabolism,"51, 50, 46",,,,
rxn24,1.1.1.184,geneCsal1084,Carbonyl reductase,rchohr' + nadp <-> rcor' + nadph,Arachidonic acid metabolism,"52 , 54, 53",,,,
rxn25,1.1.1.193,geneCsal1173,5-amino-6-(5-phosphoribosylamino)uracil reductase, 5apru + h + nadph -> 5aprbu + nadp,Riboflavin metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn26,1.1.1.204,geneCsal0529,xanthine dehydrogenase, h2o + nad + xan -> h + nadh + urate,Energy production and conversion,"51, 50, 33, 34",,,,
rxn27,1.1.1.205,geneCsal0730,IMP dehydrogenase, h2o + imp + nad -> h + nadh + xmp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn28,1.1.1.215,geneCsal0273,2-dehydro-D-gluconate reductase (NADPH), 2dhglcn + h + nadph -> glcn + nadp,Pentose phosphate pathway,"51, 50, 33, 34",,,,
rxn29,1.1.1.22,geneCsal1761,UDPglucose 6-dehydrogenase, h2o + (2) nad + udpg -> (3) h + (2) nadh + udpglcur,Pentose and glucuronate interconversions,"51, 50, 33, 34,46",,,,
rxn30,1.1.1.23,geneCsal2212,histidinol dehydrogenase, h2o + histd + (2) nad -> (3) h + hisL + (2) nadh,histidine biosynthesis ,"51, 50, 33, 34,28, 46, 39",,,,
rxn31,1.1.1.25,geneCsal0293,shikimate dehydrogenase, 3dhsk + h + nadph -> nadp + skm,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn32,1.1.1.25,geneCsal0293,shikimate dehydrogenase, 3dhsk + h + nadph <-> nadp + skm,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn33,1.1.1.255,geneCsal0836,Mannitol dehydrogenase,mnl + nad <-> man + nadh,,"52 , 54, 53",,,,
rxn34,1.1.1.262,geneCsal0919,4-hydroxythreonine-4-phosphate dehydrogenase,4phoLt + nad <-> 2a3o4phobut2S + nadh,Vitamin B6 metabolism,"52 , 54, 53",,,,
rxn35,1.1.1.267,geneCsal0569,1-deoxy-D-xylulose-5-phosphate reductoisomerase,2me4p + nadp <-> dxyl5p + nadph,Biosynthesis of steroids,"52 , 54, 53",,,,
