#,METID,METNAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,KEEG-ENTRY,,,,,,,,,,,
,ATP[c],ATP,,obo.chebi:CHEBI:15422,C10H16N5O13P3,"1/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19,21,23H,11H2",c,m1,C00002,,,,,,,,,,,
,alpha-D-Glucose[e],alpha-D-Glucose,,obo.chebi:CHEBI:17925,C6H12O6,"1/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1",e,m2,C00267,,,,,,,,,,,
,ADP[c],ADP,,obo.chebi:CHEBI:16761,C10H15N5O10P2,"1/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19,21H,11H2",c,m3,C00008,,,,,,,,,,,
,alpha-D-Glucose 6-phosphate[c],alpha-D-Glucose 6-phosphate,,obo.chebi:CHEBI:17665,C6H13O9P,"1/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6+/m1/s1/f/h11-12H",c,m4,C00668,,,,,,,,,,,
,H2O[c],H2O,,obo.chebi:CHEBI:15377,H2O,1/H2O/h1H2,c,m5,C00001,,,,,,,,,,,
,alpha-D-Glucose[c],alpha-D-Glucose,,obo.chebi:CHEBI:17925,C6H12O6,"1/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1",c,m6,C00267,,,,,,,,,,,
,Orthophosphate[c],Orthophosphate,,obo.chebi:CHEBI:18367,H3PO4,"1/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3/fO4P/q-3",c,m7,C00009,,,,,,,,,,,
,beta-D-Glucose[c],beta-D-Glucose,,obo.chebi:CHEBI:15903,C6H12O6,"1/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1",c,m8,C00221,,,,,,,,,,,
,beta-D-Fructose 6-phosphate[c],beta-D-Fructose 6-phosphate,,obo.chebi:CHEBI:16084,C6H13O9P,"1/C6H13O9P/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/t3-,4-,5+,6-/m1/s1/f/h11-12H",c,m9,C05345,,,,,,,,,,,
,"beta-D-Fructose 1,6-bisphosphate[c]","beta-D-Fructose 1,6-bisphosphate",,obo.chebi:CHEBI:28013,C6H14O12P2,"1/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/t3-,4-,5+,6-/m1/s1/f/h10-11,13-14H",c,m10,C05378,,,,,,,,,,,
