"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition"
"M_13dpg_c","M_3_Phospho_D_glyceroyl_phosphate_C3H4O10P2","-4","Cytosol","false"
"M_2pg_c","M_D_Glycerate_2_phosphate_C3H4O7P","-3","Cytosol","false"
"M_3pg_c","M_3_Phospho_D_glycerate_C3H4O7P","-3","Cytosol","false"
"M_6pgc_c","M_6_Phospho_D_gluconate_C6H10O10P","-3","Cytosol","false"
"M_6pgl_c","M_6_phospho_D_glucono_1_5_lactone_C6H9O9P","-2","Cytosol","false"
"M_ac_c","M_Acetate_C2H3O2","-1","Cytosol","false"
"M_ac_e","M_Acetate_C2H3O2","-1","Extra_organism","false"
"M_accoa_c","M_Acetyl_CoA_C23H34N7O17P3S","-4","Cytosol","false"
"M_actp_c","M_Acetyl_phosphate_C2H3O5P","-2","Cytosol","false"
"M_adp_c","M_ADP_C10H12N5O10P2","-3","Cytosol","false"
"M_akg_c","M_2_Oxoglutarate_C5H4O5","-2","Cytosol","false"
"M_akg_e","M_2_Oxoglutarate_C5H4O5","-2","Extra_organism","false"
"M_amp_c","M_AMP_C10H12N5O7P","-2","Cytosol","false"
"M_atp_c","M_ATP_C10H12N5O13P3","-4","Cytosol","false"
"M_cit_c","M_Citrate_C6H5O7","-3","Cytosol","false"
"M_co2_c","M_CO2_CO2","0","Cytosol","false"
"M_co2_e","M_CO2_CO2","0","Extra_organism","false"
"M_coa_c","M_Coenzyme_A_C21H32N7O16P3S","-4","Cytosol","false"
"M_dhap_c","M_Dihydroxyacetone_phosphate_C3H5O6P","-2","Cytosol","false"
"M_e4p_c","M_D_Erythrose_4_phosphate_C4H7O7P","-2","Cytosol","false"
"M_etoh_c","M_Ethanol_C2H6O","0","Cytosol","false"
"M_etoh_e","M_Ethanol_C2H6O","0","Extra_organism","false"
"M_f6p_c","M_D_Fructose_6_phosphate_C6H11O9P","-2","Cytosol","false"
"M_fad_c","M_Flavin_adenine_dinucleotide_oxidized_C27H31N9O15P2","-2","Cytosol","false"
"M_fadh2_c","M_Flavin_adenine_dinucleotide_reduced_C27H33N9O15P2","-2","Cytosol","false"
"M_fdp_c","M_D_Fructose_1_6_bisphosphate_C6H10O12P2","-4","Cytosol","false"
"M_for_c","M_Formate_CH1O2","-1","Cytosol","false"
"M_for_e","M_Formate_CH1O2","-1","Extra_organism","false"
"M_fum_c","M_Fumarate_C4H2O4","-2","Cytosol","false"
"M_fum_e","M_Fumarate_C4H2O4","-2","Extra_organism","false"
"M_g3p_c","M_Glyceraldehyde_3_phosphate_C3H5O6P","-2","Cytosol","false"
"M_g6p_c","M_D_Glucose_6_phosphate_C6H11O9P","-2","Cytosol","false"
"M_glc_D_e","M_D_Glucose_C6H12O6","0","Extra_organism","false"
"M_glx_c","M_Glyoxylate_C2H1O3","-1","Cytosol","false"
"M_h2o_c","M_H2O_H2O","0","Cytosol","false"
"M_h2o_e","M_H2O_H2O","0","Extra_organism","false"
"M_h_c","M_H_H","1","Cytosol","false"
"M_h_e","M_H_H","1","Extra_organism","false"
"M_icit_c","M_Isocitrate_C6H5O7","-3","Cytosol","false"
"M_lac_D_c","M_D_Lactate_C3H5O3","-1","Cytosol","false"
"M_lac_D_e","M_D_Lactate_C3H5O3","-1","Extra_organism","false"
"M_mal_L_c","M_L_Malate_C4H4O5","-2","Cytosol","false"
"M_nad_c","M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2","-1","Cytosol","false"
"M_nadh_c","M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2","-2","Cytosol","false"
"M_nadp_c","M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3","-3","Cytosol","false"
"M_nadph_c","M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3","-4","Cytosol","false"
"M_o2_c","M_O2_O2","0","Cytosol","false"
"M_o2_e","M_O2_O2","0","Extra_organism","false"
"M_oaa_c","M_Oxaloacetate_C4H2O5","-2","Cytosol","false"
"M_pep_c","M_Phosphoenolpyruvate_C3H2O6P","-3","Cytosol","false"
"M_pi_c","M_Phosphate_HO4P","-2","Cytosol","false"
"M_pi_e","M_Phosphate_HO4P","-2","Extra_organism","false"
"M_pyr_c","M_Pyruvate_C3H3O3","-1","Cytosol","false"
"M_pyr_e","M_Pyruvate_C3H3O3","-1","Extra_organism","false"
"M_q8_c","M_Ubiquinone_8_C49H74O4","0","Cytosol","false"
"M_q8h2_c","M_Ubiquinol_8_C49H76O4","0","Cytosol","false"
"M_r5p_c","M_alpha_D_Ribose_5_phosphate_C5H9O8P","-2","Cytosol","false"
"M_ru5p_D_c","M_D_Ribulose_5_phosphate_C5H9O8P","-2","Cytosol","false"
"M_s7p_c","M_Sedoheptulose_7_phosphate_C7H13O10P","-2","Cytosol","false"
"M_succ_c","M_Succinate_C4H4O4","-2","Cytosol","false"
"M_succ_e","M_Succinate_C4H4O4","-2","Extra_organism","false"
"M_succoa_c","M_Succinyl_CoA_C25H35N7O19P3S","-5","Cytosol","false"
"M_xu5p_D_c","M_D_Xylulose_5_phosphate_C5H9O8P","-2","Cytosol","false"
"M_ac_b","M_Acetate_C2H3O2","-1","Extra_organism","true"
"M_akg_b","M_2_Oxoglutarate_C5H4O5","-2","Extra_organism","true"
"M_co2_b","M_CO2_CO2","0","Extra_organism","true"
"M_etoh_b","M_Ethanol_C2H6O","0","Extra_organism","true"
"M_for_b","M_Formate_CH1O2","-1","Extra_organism","true"
"M_fum_b","M_Fumarate_C4H2O4","-2","Extra_organism","true"
"M_glc_D_b","M_D_Glucose_C6H12O6","0","Extra_organism","true"
"M_h2o_b","M_H2O_H2O","0","Extra_organism","true"
"M_h_b","M_H_H","1","Extra_organism","true"
"M_lac_D_b","M_D_Lactate_C3H5O3","-1","Extra_organism","true"
"M_o2_b","M_O2_O2","0","Extra_organism","true"
"M_pi_b","M_Phosphate_HO4P","-2","Extra_organism","true"
"M_pyr_b","M_Pyruvate_C3H3O3","-1","Extra_organism","true"
"M_succ_b","M_Succinate_C4H4O4","-2","Extra_organism","true"
