Abbreviation	Equation	Lower	Upper	Present	Synthetic objective	GeneAssociation	Knockout cost	Knockin cost
EX_12ppd-R(e)	[e] : 12ppd-R <==>	0	None	1	0		0	0
EX_12ppd-S(e)	[e] : 12ppd-S <==>	0	None	1	0		0	0
EX_14glucan(e)	[e] : 14glucan <==>	0	None	1	0		0	0
EX_15dap(e)	[e] : 15dap <==>	0	None	1	0		0	0
EX_23camp(e)	[e] : 23camp <==>	0	None	1	0		0	0
EX_23ccmp(e)	[e] : 23ccmp <==>	0	None	1	0		0	0
EX_23cgmp(e)	[e] : 23cgmp <==>	0	None	1	0		0	0
EX_23cump(e)	[e] : 23cump <==>	0	None	1	0		0	0
EX_23dappa(e)	[e] : 23dappa <==>	0	None	1	0		0	0
EX_26dap-M(e)	[e] : 26dap-M <==>	0	None	1	0		0	0
EX_2ddglcn(e)	[e] : 2ddglcn <==>	0	None	1	0		0	0
EX_34dhpac(e)	[e] : 34dhpac <==>	0	None	1	0		0	0
EX_3amp(e)	[e] : 3amp <==>	0	None	1	0		0	0
EX_3cmp(e)	[e] : 3cmp <==>	0	None	1	0		0	0
EX_3gmp(e)	[e] : 3gmp <==>	0	None	1	0		0	0
EX_3hcinnm(e)	[e] : 3hcinnm <==>	0	None	1	0		0	0
EX_3hpppn(e)	[e] : 3hpppn <==>	0	None	1	0		0	0
EX_3ump(e)	[e] : 3ump <==>	0	None	1	0		0	0
EX_4abut(e)	[e] : 4abut <==>	0	None	1	0		0	0
EX_4hoxpacd(e)	[e] : 4hoxpacd <==>	0	None	1	0		0	0
EX_5dglcn(e)	[e] : 5dglcn <==>	0	None	1	0		0	0
EX_ac(e)	[e] : ac <==>	0	None	1	0		0	0
EX_acac(e)	[e] : acac <==>	0	None	1	0		0	0
EX_acald(e)	[e] : acald <==>	0	None	1	0		0	0
EX_acgal(e)	[e] : acgal <==>	0	None	1	0		0	0
EX_acgal1p(e)	[e] : acgal1p <==>	0	None	1	0		0	0
EX_acgam(e)	[e] : acgam <==>	0	None	1	0		0	0
EX_acgam1p(e)	[e] : acgam1p <==>	0	None	1	0		0	0
EX_acmana(e)	[e] : acmana <==>	0	None	1	0		0	0
EX_acmum(e)	[e] : acmum <==>	0	None	1	0		0	0
EX_acnam(e)	[e] : acnam <==>	0	None	1	0		0	0
EX_acolipa(e)	[e] : acolipa <==>	0	None	1	0		0	0
EX_acser(e)	[e] : acser <==>	0	None	1	0		0	0
EX_ade(e)	[e] : ade <==>	0	None	1	0		0	0
EX_adn(e)	[e] : adn <==>	0	None	1	0		0	0
EX_adocbl(e)	[e] : adocbl <==>	0	None	1	0		0	0
EX_ag(e)	[e] : ag <==>	0	None	1	0		0	0
EX_agm(e)	[e] : agm <==>	0	None	1	0		0	0
EX_akg(e)	[e] : akg <==>	0	None	1	0		0	0
EX_alaala(e)	[e] : alaala <==>	0	None	1	0		0	0
EX_ala-B(e)	[e] : ala-B <==>	0	None	1	0		0	0
EX_ala-D(e)	[e] : ala-D <==>	0	None	1	0		0	0
EX_ala-L(e)	[e] : ala-L <==>	0	None	1	0		0	0
EX_all-D(e)	[e] : all-D <==>	0	None	1	0		0	0
EX_alltn(e)	[e] : alltn <==>	0	None	1	0		0	0
EX_amp(e)	[e] : amp <==>	0	None	1	0		0	0
EX_anhgm(e)	[e] : anhgm <==>	0	None	1	0		0	0
EX_arab-L(e)	[e] : arab-L <==>	0	None	1	0		0	0
EX_arbtn(e)	[e] : arbtn <==>	0	None	1	0		0	0
EX_arbtn-fe3(e)	[e] : arbtn-fe3 <==>	0	None	1	0		0	0
EX_arg-L(e)	[e] : arg-L <==>	0	None	1	0		0	0
EX_ascb-L(e)	[e] : ascb-L <==>	0	None	1	0		0	0
EX_asn-L(e)	[e] : asn-L <==>	0	None	1	0		0	0
EX_aso3(e)	[e] : aso3 <==>	0	None	1	0		0	0
EX_asp-L(e)	[e] : asp-L <==>	0	None	1	0		0	0
EX_but(e)	[e] : but <==>	0	None	1	0		0	0
EX_butso3(e)	[e] : butso3 <==>	0	None	1	0		0	0
EX_ca2(e)	[e] : ca2 <==>	None	None	1	0		0	0
EX_cbi(e)	[e] : cbi <==>	0	None	1	0		0	0
EX_cbl1(e)	[e] : cbl1 <==>	None	None	1	0		0	0
EX_cd2(e)	[e] : cd2 <==>	0	None	1	0		0	0
EX_cgly(e)	[e] : cgly <==>	0	None	1	0		0	0
EX_chol(e)	[e] : chol <==>	0	None	1	0		0	0
EX_cit(e)	[e] : cit <==>	0	None	1	0		0	0
EX_cl(e)	[e] : cl <==>	None	None	1	0		0	0
EX_cmp(e)	[e] : cmp <==>	0	None	1	0		0	0
EX_co2(e)	[e] : co2 <==>	None	None	1	0		0	0
EX_cobalt2(e)	[e] : cobalt2 <==>	None	None	1	0		0	0
EX_colipa(e)	[e] : colipa <==>	0	None	1	0		0	0
EX_cpgn(e)	[e] : cpgn <==>	0	None	1	0		0	0
EX_cpgn-un(e)	[e] : cpgn-un <==>	0	None	1	0		0	0
EX_crn(e)	[e] : crn <==>	0	None	1	0		0	0
EX_csn(e)	[e] : csn <==>	0	None	1	0		0	0
EX_cu(e)	[e] : cu <==>	0	None	1	0		0	0
EX_cu2(e)	[e] : cu2 <==>	None	None	1	0		0	0
EX_cyan(e)	[e] : cyan <==>	0	None	1	0		0	0
EX_cynt(e)	[e] : cynt <==>	0	None	1	0		0	0
EX_cys-D(e)	[e] : cys-D <==>	0	None	1	0		0	0
EX_cys-L(e)	[e] : cys-L <==>	0	None	1	0		0	0
EX_cytd(e)	[e] : cytd <==>	0	None	1	0		0	0
EX_dad-2(e)	[e] : dad-2 <==>	0	None	1	0		0	0
EX_damp(e)	[e] : damp <==>	0	None	1	0		0	0
EX_dca(e)	[e] : dca <==>	0	None	1	0		0	0
EX_dcmp(e)	[e] : dcmp <==>	0	None	1	0		0	0
EX_dcyt(e)	[e] : dcyt <==>	0	None	1	0		0	0
EX_ddca(e)	[e] : ddca <==>	0	None	1	0		0	0
EX_dgmp(e)	[e] : dgmp <==>	0	None	1	0		0	0
