"Reaction Abbreviation","Reaction Name","Reaction","Gene-reaction association","locusTags","Subsystem","Reversible","LB","UB","Objective"
"12DGR120tipp","1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C120 "," 12dgr120[p] -->  12dgr120[c]",,,"Transport Inner Membrane",0,0,1000,0
"12DGR140tipp","1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C140 "," 12dgr140[p] -->  12dgr140[c]",,,"Transport Inner Membrane",0,0,1000,0
"12DGR141tipp","1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C141 "," 12dgr141[p] -->  12dgr141[c]",,,"Transport Inner Membrane",0,0,1000,0
"12DGR160tipp","1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C160 "," 12dgr160[p] -->  12dgr160[c]",,,"Transport Inner Membrane",0,0,1000,0
"12DGR161tipp","1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C161 "," 12dgr161[p] -->  12dgr161[c]",,,"Transport Inner Membrane",0,0,1000,0
"12DGR180tipp","1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C180 "," 12dgr180[p] -->  12dgr180[c]",,,"Transport Inner Membrane",0,0,1000,0
"12DGR181tipp","1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C181 "," 12dgr181[p] -->  12dgr181[c]",,,"Transport Inner Membrane",0,0,1000,0
"12PPDRtex"," R Propane 1 2 diol transport via diffusion extracellular to periplasm "," 12ppd-R[e] <==>  12ppd-R[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"12PPDRtpp"," R Propane 1 2 diol facilitated transport periplasm "," 12ppd-R[p] <==>  12ppd-R[c]",,,"Transport Inner Membrane",1,-1000,1000,0
"12PPDStex"," S Propane 1 2 diol transport via diffusion extracellular to periplasm "," 12ppd-S[e] <==>  12ppd-S[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"12PPDStpp"," S Propane 1 2 diol facilitated transport periplasm "," 12ppd-S[p] <==>  12ppd-S[c]",,,"Transport Inner Membrane",1,-1000,1000,0
"14GLUCANabcpp","1 4 alpha D glucan transport via ABC system periplasm "," 14glucan[p] + atp[c] + h2o[c] -->  14glucan[c] + adp[c] + h[c] + pi[c]","( ECW_m4397  and  ECW_m4396  and  ECW_m4395  and  ECW_m4399 )","ECW_m4395 ECW_m4396 ECW_m4397 ECW_m4399","Transport Inner Membrane",0,0,1000,0
