Abbrevation,Metabolite Name,Chemical Formula
10fthf,10-Formyltetrahydrofolate,C20H22N7O7
12dgr120,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5
12dgr140,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5
12dgr141,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5
12dgr160,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5
12dgr161,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5
12dgr180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5
12dgr181,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5
13dpg,3-Phospho-D-glyceroyl phosphate,C3H4O10P2
1ccvppt,1-carboxyvinyl carboxyphosphonate,C4H2O7P
1ddecg3p,1-dodecanoyl-sn-glycerol 3-phosphate,C15H29O7P1
1hdec9eg3p,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H35O7P1
1hdecg3p,1-hexadecanoyl-sn-glycerol 3-phosphate,C19H37O7P1
1hlalkn,1-haloalkane,
1odec11eg3p,1-octadec-11-enoyl-sn-glycerol 3-phosphate,C21H39O7P1
1odecg3p,1-octadecanoyl-sn-glycerol 3-phosphate,C21H41O7P1
1p3h5c,L-1-Pyrroline-3-hydroxy-5-carboxylate,C5H7NO3
1pyr5c,1-Pyrroline-5-carboxylate,C5H6NO2
1R2S12hphtn12ol,"(1R,2S)-1,2-dihydronaphthalene-1,2-diol ",C10H10O2
1tdec7eg3p,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H31O7P1
1tdecg3p,1-tetradecanoyl-sn-glycerol 3-phosphate,C17H33O7P1
22nppe,2 2-nitropropane,C3H7NO2
23ddarabt,2-dehydro-3-deoxy-L-arabinonate,C5H8O5
23dhdp,"2,3-Dihydrodipicolinate",C7H5NO4
23dhmb,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4
23dhmp,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4
24abtn,"L-2,4-diaminobutanoate",C4H10N2O2
24chph,"2,4-dichlorophenol",C6H4Cl2O
25aics,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H15N4O12P
25dhpp,"2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine",C9H14N5O8P
25dixp,"2,5-dioxopentanoate",C5H5O4
25drapp,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C9H14N5O8P
26dapLL,"LL-2,6-Diaminoheptanedioate",C7H14N2O4
26dapM,"meso-2,6-Diaminoheptanedioate",C7H14N2O4
2a3o4phobut2S, (2S)-2-amino-3-oxo-4-phosphonooxybutanoate,C4H10NO7P
2aacdL,L-2-amino acid,C2H4NO2R
2agpe120,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P1
2agpe140,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),C19H40NO7P1
2agpe141,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P1
2agpe160,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),C21H44NO7P1
2agpe161,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P1
2agpe180,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),C23H48NO7P1
2agpe181,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P1
2agpg120,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P1
2agpg140,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),C20H40O9P1
2agpg141,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C20H38O9P1
2agpg160,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),C22H44O9P1
2agpg161,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P1
2agpg180,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P1
2agpg181,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P1
2ahbut,(S)-2-Aceto-2-hydroxybutanoate,C6H9O4
