"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition","Neutral metabolite formula","Charged metab. formula","KeggID","PubChem ID","CheBI ID"
"M_h2o_c","H2O","  ","c","false","H2O","H2O","C00001","3303","15377"
"M_h2o_p","H2O","  ","p","false","H2O","H2O","C00001","3303","15377"
"M_h2o_u","H2O","  ","u","false","H2O","H2O","C00001","3303","15377"
"M_pq_u","oxidized plastoquinone","  ","u","false","C13H18O2","C13H18O2","C16694","5256","16323"
"M_o2_u","O2","  ","u","false","O2","O2","C00007","3309","15379"
"M_pqh2_u","reduced plastoquinone","  ","u","false","C13H16O2","C13H16O2","C02185","51091016"," "
"M_ofdx_p","oxidized ferredoxin","  ","p","false"," "," ","c00139","3439","17908"
"M_rpc_u","reduced plastocyanin","  ","u","false"," "," ","C03025","5931"," "
"M_h_u","H+","1","u","false","H","H","C00080","3380","15378"
"M_rfdx_p","reduced ferredoxin","  ","p","false"," "," ","c00138","3438","17513"
"M_opc_u","oxidized plastocyanin","  ","u","false"," "," ","C03162","6047"," "
"M_h_p","H+","1","p","false","H","H","C00080","3380","15378"
"M_nadp_p","NADP+","  ","p","false","C21H29N7O17P3","C21H29N7O17P3","C00006","3308","18009"
"M_nadph_p","NADPH","  ","p","false","C21H30N7O17P3","C21H30N7O17P3","C00005","3307","16474"
"M_adp_p","ADP","-3","p","false","C10H15N5O10P2","C10H12N5O10P2","C00008","3310","16761"
"M_pi_p","Phosphate","  ","p","false","H3PO4","H3PO4","C00009","3311","18367"
"M_atp_p","ATP","-4","p","false","C10H16N5O13P3","C10H12N5O13P3","C00002","3304","15422"
"M_o2_p","O2","  ","p","false","O2","O2","C00007","3309","15379"
"M_o2_c","O2","  ","c","false","O2","O2","C00007","3309","15379"
"M_o2_m","O2","  ","m","false","O2","O2","C00007","3309","15379"
"M_atp_c","ATP","-4","c","false","C10H16N5O13P3","C10H12N5O13P3","C00002","3304","15422"
"M_adp_c","ADP","-3","c","false","C10H15N5O10P2","C10H12N5O10P2","C00008","3310","16761"
"M_pi_c","Phosphate","  ","c","false","H3PO4","H3PO4","C00009","3311","18367"
"M_h_c","H+","1","c","false","H","H","C00080","3380","15378"
"M_amp_c","amp","  ","c","false","C10H14N5O7P","C10H14N5O7P","C00020"," "," "
"M_ppi_c","Pyrophosphate","  ","c","false","P2H4O7","P2H4O7","C00013","3315","18361 29888"
"M_nadh_p","NADH","  ","p","false","C21H29N7O14P2","C21H29N7O14P2","C00004","3306","16908"
"M_q_p","Ubiquinone (Coenzyme Q)","  ","p","false","C14H18O4(C5H8)n","C14H18O4(C5H8)n","C00399","3689","16389"
"M_nad_p","NAD+","  ","p","false","C21H28N7O14P2","C21H28N7O14P2","C00003","3305","15846"
"M_qh2_p","Ubiquinol","  ","p","false","C14H20O4(C5H8)n","C14H20O4(C5H8)n","C00390","3680","17976"
"M_nadph_c","NADPH","  ","c","false","C21H30N7O17P3","C21H30N7O17P3","C00005","3307","16474"
"M_nad_c","NAD+","  ","c","false","C21H28N7O14P2","C21H28N7O14P2","C00003","3305","15846"
"M_nadp_c","NADP+","  ","c","false","C21H29N7O17P3","C21H29N7O17P3","C00006","3308","18009"
"M_nadh_c","NADH","  ","c","false","C21H29N7O14P2","C21H29N7O14P2","C00004","3306","16908"
"M_hco3_c","Bicarbonate","  ","c","false","HCO3","HCO3","C00288","3583","17544"
"M_hco3_p","Bicarbonate","  ","p","false","HCO3","HCO3","C00288","3583","17544"
"M_hco3_m","Bicarbonate","  ","m","false","HCO3","HCO3","C00288","3583","17544"
"M_co2_p","co2","  ","p","false","co2","co2"," "," "," "
