"KO","Flux Value","Reaction Abbreviation","Reaction Name","Reaction Equation (Metabolite Abbreviation)","Reversible","Lower Bound","Upper Bound","Biological Objective","Synthetic Objective","Gene Association","Protein Association","Subsystem","Protein Class","GPR","Genes","Protein","Confidence Score","EC. Number"
"false","0.0","R_EX_PHOTON2","Photon","M_photon_u <==> ","true","-1000.0","1000.0","0.0","0.0"," "," ","Photosynthesis"," "," "," "," ","2"," "
"false","0.0","R_EX_H2O","Water transport","M_h2o_c <==> ","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_H2O_PC","Water transport","M_h2o_p <==> M_h2o_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_H2O_UP"," ","M_h2o_p <==> M_h2o_u","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_PSII","PSII","2 M_photon_u + M_h2o_u + M_pq_u --> 0.5 M_o2_u + M_pqh2_u","false","0.0","1000.0","0.0","0.0"," "," ","Photosynthesis"," "," "," "," ","2"," "
"false","0.0","R_PSI","PSI","M_ofdx_p + 2 M_rpc_u + 2 M_photon_u + 2 M_h_u --> M_rfdx_p + 2 M_opc_u","false","0.0","1000.0","0.0","0.0"," "," ","Photosynthesis"," "," "," "," ","2"," "
"false","0.0","R_CBFC","cytochrome b6/f complex","2 M_h_p + 2 M_opc_u + M_pqh2_u --> 4 M_h_u + 2 M_rpc_u + M_pq_u","false","0.0","1000.0","0.0","0.0"," "," ","Photosynthesis"," "," "," "," ","2"," "
"false","0.0","R_FNR","ferredoxin---NADP+ reductase","M_rfdx_p + M_nadp_p <==> M_ofdx_p + M_nadph_p + M_h_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","43018"," "," ","2","1.18.1.2"
"false","0.0","R_ATPS_C","Chloroplast ATP synthase","M_adp_p + 4 M_h_u + M_pi_p <==> M_atp_p + 3 M_h_p + M_h2o_u","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","ATPF0A, atpB"," "," ","2","3.6.3.14"
"false","0.0","R_T_O2_UP"," ","M_o2_u <==> M_o2_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_O2"," ","M_o2_c <==> ","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_O2_CM"," ","M_o2_c <==> M_o2_m","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_O2_CP"," ","M_o2_c <==> M_o2_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_CEF","Cyclic electron flow","M_rfdx_p + 2 M_h_p + 2 M_opc_u --> M_ofdx_p + 4 M_h_u + 2 M_rpc_u","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_MAINT_ATP","Non-growth associated ATP maintenance","M_atp_c + M_h2o_c --> M_adp_c + M_pi_c + M_h_c","false","1.5","1.5","0.0","0.0"," "," "," "," ","2208 or 231 or 12620"," "," ","2","3.6.1.3"
"false","0.0","R_ATPPPH","ATP Pyrophosphatase","M_atp_c + M_h2o_c --> M_amp_c + M_ppi_c + 2 M_h_c","false","0.0","1000.0","0.0","0.0"," "," "," "," ","2208"," "," ","2","3.6.1.8"
"false","0.0","R_EX_PI","phosphate exchange","M_pi_c <==> ","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_NADHDH_P","NADH Dehydrogenase","M_nadh_p + M_q_p --> M_nad_p + M_qh2_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","35590, 43944, bd1704"," "," ","2","1.6.5.3"
"false","0.0","R_TRANSHYDGN_M","transhydrogenase","M_nadph_c + M_nad_c <==> M_nadp_c + M_nadh_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","45428"," "," ","2","1.6.1.1"
"false","0.0","R_EX_HCO3","HCO3 transport -.74","M_hco3_c <==> ","true","-0.65","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_HCO3_CP","bicarbonate transfer","M_hco3_c --> M_hco3_p","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_HCO3_CM"," ","M_hco3_c <==> M_hco3_m","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_CA","carbonic anhydrase","M_hco3_p <==> M_co2_p + M_h2o_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","42406 or 51305 or 55029 or 45443 or 44526 or 54251 or 42574"," "," ","2"," "
