CHEBI ID,KEGG ID,
17223,C03799,
15701,C03798,
16439,C03790,
17970,C03792,
17311,C03793,
15919,C03794,
7417,C03795,
16021,C03796,
16792,C03797,
28110,C03776,
3122,C03779,
81963,C18792,
81964,C18793,
39367,C18790,
38451,C18791,
16985,C03772,
28250,C03773,
81968,C18798,
64289,C18799,
60908,C18796,
81967,C18797,
81965,C18794,
28116,C03771,
81966,C18795,
17316,C03789,
81955,C18780,
39299,C18781,
81956,C18782,
50145,C18787,
4250,C03785,
81961,C18788,
16350,C03786,
81962,C18789,
28207,C03783,
81957,C18783,
81958,C18784,
81959,C18785,
81960,C18786,
81951,C18775,
73171,C18774,
81950,C18773,
81949,C18772,
62961,C18779,
81954,C18778,
81953,C18777,
81952,C18776,
38571,C18771,
38576,C18770,
81948,C18769,
38881,C18762,
81942,C18761,
81944,C18764,
81943,C18763,
81945,C18766,
65242,C18765,
81947,C18768,
81946,C18767,
81941,C18760,
543745,C19807,
81940,C18758,
19503,C18759,
38812,C18757,
38786,C18756,
81939,C18755,
81938,C18754,
81937,C18753,
81936,C18752,
81935,C18751,
50397,C18750,
38537,C18747,
81934,C18748,
38729,C18749,
81931,C18744,
81930,C18743,
81933,C18746,
81932,C18745,
81928,C18740,
75704,C18742,
75711,C18742,
81929,C18741,
81919,C18730,
81920,C18731,
81921,C18732,
81922,C18733,
81923,C18734,
81924,C18735,
81926,C18737,
81925,C18736,
81927,C18739,
24536,C18738,
81913,C18720,
70764,C19852,
74889,C18723,
81916,C18724,
81914,C18721,
81915,C18722,
81918,C18728,
38593,C18727,
81917,C18726,
38663,C18725,
30473,C18729,
81905,C18710,
81906,C18711,
81907,C18712,
23414,C18713,
81912,C18719,
81911,C18718,
39335,C18715,
81908,C18714,
55437,C19847,
81910,C18717,
81909,C18716,
81898,C18701,
38578,C18702,
22472,C18700,
81904,C18709,
81903,C18708,
81902,C18707,
74526,C18706,
81901,C18705,
81900,C18704,
81899,C18703,
32618,C04880,
16073,C04881,
18199,C04882,
29110,C04883,
51013,C04884,
16901,C04885,
17725,C04886,
17483,C04887,
16059,C04890,
16198,C04891,
18302,C04896,
17329,C04894,
71358,C04894,
18372,C04895,
28316,C04899,
64084,C04899,
7764,C04898,
17631,C04861,
28781,C04862,
15931,C04864,
5484,C04866,
16735,C04865,
15581,C04867,
17001,C04874,
29109,C04875,
16599,C04872,
27712,C04873,
365,C04871,
84805,C04877,
28514,C04876,
15932,C04858,
15575,C04859,
17785,C04855,
15644,C04856,
44236,C04856,
37738,C04851,
18914,C04850,
15646,C04853,
15631,C04849,
18217,C04847,
62327,C04847,
18214,C04848,
17103,C04845,
15630,C04843,
29086,C04844,
18134,C04840,
18209,C04832,
17894,C04833,
15580,C04834,
15556,C04835,
1612,C04839,
35331,C19795,
16603,C04831,
15696,C04830,
18319,C04823,
16942,C04824,
15629,C04822,
4414,C10325,
5897,C10326,
4544,C10327,
5935,C10328,
5642,C10321,
10393,C04819,
4040,C10322,
16979,C04818,
4044,C10323,
5643,C10324,
16694,C04815,
15717,C04814,
28677,C10329,
28208,C04811,
7763,C04810,
27695,C04812,
3885,C10320,
4748,C10338,
6080,C10339,
6024,C10336,
4723,C10337,
4704,C10334,
4718,C10335,
4633,C10332,
16640,C04808,
5977,C10333,
15998,C04807,
73083,C04807,
16129,C04806,
28209,C04805,
28360,C04804,
10596,C04802,
27651,C10331,
5941,C10330,
2823,C10300,
4943,C10301,
2828,C10302,
28268,C10303,
5187,C10304,
2991,C10305,
3096,C10306,
3446,C10307,
3455,C10308,
3556,C10309,
3682,C10312,
3685,C10313,
3595,C10310,
2256,C10311,
3688,C10316,
3812,C10317,
3686,C10314,
3687,C10315,
3861,C10318,
5641,C10319,
8264,C10363,
8822,C10364,
8039,C10361,
6137,C10362,
1177,C10360,
28133,C03726,
28228,C03725,
16163,C03727,
16675,C03722,
15510,C03724,
17668,C03723,
6554,C10369,
44401,C10368,
10429,C10367,
6377,C10366,
6141,C10365,
2336,C10372,
65842,C10373,
6999,C10374,
63924,C10375,
6555,C10370,
6689,C10371,
17959,C03717,
16859,C03716,
17197,C03715,
16305,C03712,
16913,C03711,
16532,C03710,
48202,C10377,
7000,C10376,
17520,C03719,
7635,C10379,
8867,C10378,
6382,C10341,
4778,C10342,
4774,C10340,
16342,C03703,
5167,C10346,
29065,C03708,
4783,C10345,
6388,C10344,
42223,C10343,
17648,C03709,
5168,C10349,
6627,C10348,
6598,C10347,
6980,C10350,
28615,C10351,
5715,C10352,
7498,C10353,
5842,C10355,
28649,C10354,
7937,C10357,
7804,C10356,
8031,C10359,
6002,C10358,
27501,C03762,
16831,C03761,
17903,C03764,
15621,C03765,
16667,C03766,
1921,C03767,
1933,C03768,
28160,C03753,
17784,C03752,
15707,C03750,
18243,C03758,
28740,C03757,
17402,C03754,
19848,C03755,
16660,C03742,
15757,C03741,
27598,C10382,
7716,C10381,
8896,C10380,
9105,C10386,
28377,C10385,
8185,C10384,
9037,C10383,
35796,C10389,
8273,C10387,
9106,C10388,
16746,C03743,
16076,C03747,
15826,C03748,
15715,C03731,
9161,C03730,
9108,C10391,
8413,C10390,
9109,C10393,
8605,C10392,
8645,C10395,
8608,C10394,
8646,C10397,
9111,C10396,
8773,C10398,
8779,C10399,
28459,C03734,
67118,C03733,
16834,C03738,
16931,C03739,
18189,C03736,
15902,C03737,
18427,C03659,
27713,C03656,
18094,C03657,
27992,C03651,
15582,C03652,
218,C03654,
50263,C03668,
52501,C03667,
17344,C03666,
28854,C03664,
27971,C03665,
18414,C03663,
28310,C03660,
16885,C03661,
16080,C03678,
17294,C03677,
17346,C03679,
17872,C03671,
17385,C03672,
36659,C03672,
18117,C03673,
28084,C03674,
17419,C03676,
16139,C03688,
2165,C03682,
18236,C03683,
27384,C03680,
28952,C03681,
18171,C03686,
35411,C03687,
17804,C03684,
15506,C03685,
82028,C18879,
26634,C18870,
82027,C18878,
73163,C18877,
39386,C18876,
39385,C18875,
50842,C18874,
17615,C03692,
82026,C18873,
18098,C03691,
77058,C18872,
64729,C18871,
4209,C03693,
82025,C18868,
60833,C18869,
71311,C19915,
82022,C18865,
82021,C18864,
82024,C18867,
82023,C18866,
39383,C18861,
82019,C18860,
82020,C18863,
39234,C18862,
82040,C18892,
84199,C18891,
82038,C18890,
82043,C18896,
82042,C18895,
82041,C18894,
77010,C18893,
75182,C18899,
82045,C18898,
82044,C18897,
82029,C18881,
32687,C18880,
82031,C18883,
82030,C18882,
82033,C18885,
82032,C18884,
82035,C18887,
82034,C18886,
82037,C18889,
82036,C18888,
48905,C04785,
81992,C18831,
81993,C18832,
81994,C18833,
81995,C18834,
15720,C04780,
17692,C04783,
81991,C18830,
82000,C18839,
81997,C18836,
81996,C18835,
81999,C18838,
81998,C18837,
70064,C18822,
23527,C19954,
17147,C04798,
70062,C18823,
17671,C04797,
74875,C18820,
16098,C04796,
81984,C18821,
16126,C04794,
15896,C04793,
16999,C04792,
17940,C04790,
81990,C18829,
81989,C18828,
81988,C18827,
81987,C18826,
81986,C18825,
29018,C04799,
81985,C18824,
82009,C18850,
75049,C19984,
82010,C18851,
82011,C18852,
82012,C18853,
82013,C18854,
82014,C18855,
82015,C18856,
82017,C18858,
82016,C18857,
82018,C18859,
82001,C18840,
82002,C18841,
82005,C18844,
82006,C18845,
82003,C18842,
82004,C18843,
82008,C18849,
82007,C18848,
15679,C04740,
15544,C04741,
15558,C04742,
15818,C04748,
28643,C04744,
1720,C04746,
28413,C04751,
16629,C04752,
16117,C04750,
22783,C04750,
15557,C04758,
17476,C04756,
15493,C04760,
30263,C18810,
81977,C18812,
44156,C18811,
81978,C18813,
17265,C04767,
81979,C18814,
81980,C18815,
39289,C18816,
81981,C18817,
81982,C18818,
81983,C18819,
29063,C04771,
28144,C04772,
17227,C04775,
81970,C18801,
16981,C04776,
81969,C18800,
16409,C04773,
30960,C04773,
81972,C18804,
81973,C18805,
16837,C04778,
59345,C18802,
81971,C18803,
81976,C18808,
38954,C18809,
81974,C18806,
81975,C18807,
17770,C04719,
17229,C04711,
15838,C04712,
15819,C04713,
15574,C04715,
15655,C04717,
29064,C04718,
16994,C04708,
27553,C04709,
70768,C04702,
17954,C04703,
28289,C04700,
9837,C04700,
16211,C04706,
15547,C04707,
9361,C10403,
69533,C10402,
9427,C10405,
9112,C10404,
8825,C10401,
9360,C10400,
18313,C04737,
61537,C04738,
68681,C04739,
15863,C04733,
9945,C10407,
18381,C04734,
9697,C10406,
9375,C10409,
9374,C10408,
15681,C04730,
15934,C04732,
17472,C04731,
4310,C10416,
65,C10415,
4308,C10414,
9912,C10413,
9881,C10412,
9782,C10411,
9672,C10410,
16819,C04728,
16773,C04729,
16041,C04725,
5018,C10419,
63,C10418,
18402,C04722,
4357,C10417,
18048,C04720,
35616,C10428,
70353,C10429,
5304,C10420,
5369,C10421,
5718,C10424,
5730,C10425,
469,C10426,
470,C10427,
1728,C10439,
614,C10433,
2106,C10434,
3293,C10431,
613,C10432,
3594,C10437,
27386,C10438,
35697,C10438,
3432,C10435,
3532,C10436,
10353,C10430,
27420,C10446,
48400,C10447,
4559,C10448,
70453,C10449,
3962,C10443,
1336,C10444,
520,C10445,
1945,C10441,
10135,C10459,
5754,C10457,
5196,C10458,
4966,C10455,
5160,C10456,
4917,C10453,
4918,C10454,
4867,C10452,
4771,C10451,
4745,C10450,
10136,C10462,
5534,C10463,
