KEGG ID,Names,Occurence
C00001,H2O|Water,3374
C00002,ATP|Adenosine 5'-triphosphate,570
C00003,NAD+|NAD|Nicotinamide adenine dinucleotide|DPN|Diphosphopyridine nucleotide|Nadide|beta-NAD+,904
C00004,NADH|DPNH|Reduced nicotinamide adenine dinucleotide,890
C00005,NADPH|TPNH|Reduced nicotinamide adenine dinucleotide phosphate,1168
C00006,NADP+|NADP|Nicotinamide adenine dinucleotide phosphate|beta-Nicotinamide adenine dinucleotide phosphate|TPN|Triphosphopyridine nucleotide|beta-NADP+,1170
C00007,Oxygen|O2,1456
C00008,ADP|Adenosine 5'-diphosphate,402
C00009,Orthophosphate|Phosphate|Phosphoric acid|Orthophosphoric acid,500
C00010,CoA|Coenzyme A|CoA-SH,555
C00011,CO2|Carbon dioxide,602
C00012,Peptide,9
C00013,Diphosphate|Diphosphoric acid|Pyrophosphate|Pyrophosphoric acid|PPi,537
C00014,Ammonia|NH3,362
C00015,UDP|Uridine 5'-diphosphate,334
C00016,FAD|Flavin adenine dinucleotide,59
C00017,Protein,13
C00018,Pyridoxal phosphate|Pyridoxal 5-phosphate|Pyridoxal 5'-phosphate|PLP,11
C00019,S-Adenosyl-L-methionine|S-Adenosylmethionine|AdoMet|SAM,405
C00020,AMP|Adenosine 5'-monophosphate|Adenylic acid|Adenylate|5'-AMP|5'-Adenylic acid|5'-Adenosine monophosphate|Adenosine 5'-phosphate,210
C00021,S-Adenosyl-L-homocysteine|S-Adenosylhomocysteine,370
C00022,Pyruvate|Pyruvic acid|2-Oxopropanoate|2-Oxopropanoic acid|Pyroracemic acid,183
C00023,Iron,0
C00024,Acetyl-CoA|Acetyl coenzyme A,198
C00025,L-Glutamate|L-Glutamic acid|L-Glutaminic acid|Glutamate,168
C00026,2-Oxoglutarate|Oxoglutaric acid|2-Ketoglutaric acid|alpha-Ketoglutaric acid,217
C00027,Hydrogen peroxide|H2O2|Oxydol,225
C00028,Acceptor|Hydrogen-acceptor|A|Oxidized donor,226
C00029,UDP-glucose|UDPglucose|UDP-D-glucose|Uridine diphosphate glucose|UDP-alpha-D-glucose,164
C00030,Reduced acceptor|AH2|Hydrogen-donor|Donor,226
C00031,D-Glucose|Grape sugar|Dextrose|Glucose|D-Glucopyranose,111
C00032,Heme|Haem|Protoheme|Heme B|Protoheme IX,11
C00033,Acetate|Acetic acid|Ethanoic acid,127
C00034,Manganese,0
C00035,GDP|Guanosine 5'-diphosphate|Guanosine diphosphate,52
C00036,Oxaloacetate|Oxalacetic acid|Oxaloacetic acid|2-Oxobutanedioic acid|2-Oxosuccinic acid|keto-Oxaloacetate,44
C00037,Glycine|Aminoacetic acid|Gly,63
C00038,Zinc cation|Zn2+|Zn(II)|Zinc ion,0
C00039,DNA|DNAn|DNAn+1|(Deoxyribonucleotide)n|(Deoxyribonucleotide)m|(Deoxyribonucleotide)n+m|Deoxyribonucleic acid,19
C00040,Acyl-CoA|Acyl coenzyme A,47
