KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
C15549,11029-12-2,17396541,36121,J101.736E, , , , , , , , 
C15548, ,17396540, ,J1.112.881E, , , , , , , , 
C15547, ,17396539,52668,J1.968.560H, , , , , , , , 
C15546, ,17396538,29043,J676.541F, , , , , , , , 
C15545, ,17396537,46570,J484.112C,ZEZ,C00007325, , , , , , 
C15544, ,17396536,11936, , , , , , , , , 
C15543, ,17396535,12193, , , , , , , , , 
C15542, ,17396534,29051|61760,J2.794.879K, , , , , , , , 
C15541, ,17396533, , , , , , , , , , 
C15540, ,17396532,55410, , , , , , , , , 
C07764,554-57-4,9966,6822,J2.070B, , , , , , , , 
C07765,135-07-9,9967,6847,J5.603K, , , , , , , , 
C07766,346-18-9,9968,8327,J2.035D, , , , , , , , 
C07767,133-67-5,9969,9683,J2.527E, , , , , , , , 
C07760,138890-62-7,9962,3176,J1.143.859H,BZ1, , , , , , , 
C07761,153-61-7,9963,124991,J3.273E,CLS, , , , , , , 
C07763,135-09-1,9965,5784,J2.529A,HFZ, , , , , , , 
C07768,58581-89-8,9970,2950,J13.831B, , , , , , , , 
C06495, ,8726,3845,J470.569F, , , , , , , , 
C06494, ,8725,3847,J2.762.284D, , , , , , , , 
C06497, ,8728,10027,J253.605F, , , , , , , , 
C06496, ,8727,3846,J22.038H,W71, , , , , , , 
C06491, ,8722,47729,J470.568H,W42, , , , , , , 
C06490, ,8721,10028,J294.090F,W35, , , , , , , 
C05618,4018-65-9,7936,27715,J254.943C,3CE, ,B00810, , , , , 
C05619,2041-35-2,7937,2069,J821.082I, ,C00007336,B00811, , , , , 
C05616, ,7935,28647,J217.773K, , ,B00809, , , , , 
C05615,9005-53-2,7934,6457,J209.206I, , , , , , , , 
C06499, ,8730,47732,J523.595B,W91, , , , , , , 
C05613,104-57-4,7933,3057,J53.979A, , ,B00808, , , , , 
C05610,4206-58-0,7932,27949,J329.696B,SNY,C00002775|C00031384,B00807, , , , , 
C00268, ,3566, ,J959.455H,H2B, ,B04657, , , , , 
C00269, ,3567,17962, , , , ,LMGP13010000, , , , 
C00261,100-52-7,3559,17169,J4.010J,HBX,C00034452,B00077, , , , , 
C00262,68-94-0,3560,17368,J1.934H,HPA,C00001502,B00078, , , , , 
C00263,672-15-1,3561,15699,J9.199E,HSE,C00001366,B01202, , , , , 
C00264, ,3562,15489, , , , , , , , , 
C00265,12/3/3483,3563,18320|42106,J388.818E|J64.633D,DTT, , , , , , , 
C00266,141-46-8,3564,17071,J2.537B, ,C00007457,B00079, , , , , 
C00267,492-62-6,3565,17925,J44.217H,GLC,C00001122,B01203, , , , , 
C03517, ,6326, , , , , , , , , , 
C03516, ,6325,15431, , ,C00007369,B01666, , , , , 
C03515, ,6324,18128,J387.924K, ,C00004268,B01665, , , , , 
C03514,1180-71-8,6323,16226,J9.856F, ,C00003719,B01664, , , , , 
C03512, ,6322,29159, , , , , , , , , 
C03511, ,6321,29153, , , , , , , , , 
C03510,15985-39-4,6320,28490,J225.433F,MSL, , , , , , , 
C03519,2018-61-3,6328,16259,J27.562J, , ,B00595, , , , , 
C03518, ,6327,28401, , , , , , , , , 
G12107, , , , , , , , ,24734,17233, , 
C12018, ,14175,29675,J660.155C, , , , , , , , 
C12019, ,14176,29470,J2.779.958B, , , , , , , , 
C16701, ,96023225,80666,J2.395.942I, , , , , , , , 
C12014,118395-73-6,14172,29556,J410.822A, ,C00017622, , , , , , 
C12016,90039-80-8,14173,29505,J1.295.433F, ,C00017818, , , , , , 
C12017, ,14174,29621,J2.766.517I, , , , , , , , 
C12011,151922-16-6,14169,29569,J556.658D, , ,B04410,LMPK07000009, , , , 
