Pathway ID,Metabolite ID,Metabolite Level,Metabolite Level Position,Metabolite Names,Metabolite Abbreviation,KEGG ID,Border,Type,Pathway KEGG ID,Notes,Alternate KEGG Ids,
0,0,0.1,-10,5-Dehydro-4-Deoxyglutarate,5DH4DGLC,C00679,0,m,6,,,
0,1,0.1,-9,D-Glucarate,GLCR,C00818,0,m,6,,,
0,2,0,-8,1D-myo-Inositol-1P,MI1P_D,C01177,1,m,79,,,
0,3,0.1,2,Maltose,MALT,C00208,0,m,61,,,
0,4,0.4,-0.6,"Amylopectin, Glycogen",Amylopectin,C00317,0,m,,,,
0,5,0.5,-2.6,Cellobiose,Cellobiose,C00185,0,m,61,,,
0,6,0.6,-10,2-Dehydro-3-Deoxyglutarate,2-Dehydro-3-Deoxyglutarate,C03921,0,m,6,,,
0,7,0.9,-8,myo-Inositol,INOST,C00137,1,m,79,,,
0,8,0.9,2,Limited dextrin,Limited dextrin,C02049,0,m,,,,
0,9,1,-7,3-Phosphatidyl-1D-myo-Inositol,3-Phosphatidyl-1D-myo-Inisotol,C01194,1,m,,,,
0,10,1,1,"Adenosine-3',5'-Monophosphate",CAMP,C00575,1,m,20,,,
0,11,1.1,-9,D-Glucoronolactone,D-Glucoronolactone,C02670,0,m,6,,,
0,12,1.2,-1.2,Amylose,Amylose,C00718,0,m,61,,,
0,13,1.6,-5.6,B-Glucosides,B-Glucosides,C00963,1,m, ,,C01798|C06186|C01451,
0,14,1.3,-9.6,Tartronate Semialdehyde,2H3OPPAN,C01146,1,m,6,,,
0,15,1.7,-4.9,Sucrose-6P,SUC6P,C02591,1,m,61,,,
0,16,1.7,-3.8,Sucrose,SUCR,C00089,1,m,61,,,
0,17,1.7,-2.6,Cellulose,Cellulose,C00760,0,m,,,,
0,18,3,-10,L-Gulonolactone,L-Gulunolactone,C01040,0,m,6,,,
0,19,3,-9,L-Gulonate,L-Gulonate,C00800,0,m,6,,,
0,20,3,-8,D-Glucuronate,GLCUR,C00191,1,m,3|79|6,,,
0,21,3,-7,D-Glucuronate-1P,GLCUR1P,C05385,0,m,3,,,
0,22,3,-6,UDP-D-Glucuronate,UDPGLCUR,C00167,1,m,3|61,,,
0,23,3.2,-4.4,D-Galactose,GAL,C00124,0,m,5,,,
0,24,3.2,-3,a-D-Galactose-1P,GAL1P,C00446,0,m,5,,,
0,25,3.2,-0.4,UDP-D-Glucose,UDPG,C00029,1,m,6|61,,,
0,26,3.2,0.4,ADP-D-Glucose,ADPGLC,C00498,1,m,61,,,
0,27,3.6,-2,dTDP-D-Galactose,dTDP-D-Galactose,C02097,0,m,,,,
0,28,3.6,-1,GDP-D-Glucose,GDP-D-Glucose,C00394,0,m,67,,,
0,29,3.8,-7,Pectin,Pectin,C00714,0,m,,,,
0,30,4.2,-10,L-xylo-Hexulonolactone,L-xylo-Hexulonolactone,C03289,0,m,,identification based on position and reaction name,,
0,31,4.4,-9,3-Dehydro-L-Gulonate,3DHGULN,C00618,0,m,6,,,
0,32,4.5,-5.2,alpha-Galactosides (eg Raffinose),alpha-Galactosides,C00492,0,m,,,,
0,33,4.6,-8,D-Galacturonate,GALUR,C00333,0,m,3|6,,,
0,34,4.6,-7,D-Galacturonate-1P,D-Galacturonate-1P,C04037,0,m,,,,
0,35,4.6,-6,UDP-D-Galacturonate,UDP-D-Galacturonate,C00617,0,m,61,,,
0,36,4.6,-4.4,Lactose,LCTS,C00243,0,m,,,,
0,37,4.6,-3,UDP-D-Galactose,UDPGAL,C00052,1,m,5,,,
0,38,4.6,-2.2,dTDP-L-Rhamnose,DTDPRMN,C03319,0,m,70,,,
0,39,4.6,-1.8,UDP-L-Rhamnose,UDP-L-Rhamnose,C02199,0,m,,,,
0,40,4.65,-1,dTDP-D-Glucose,DTDPGLU,C00842,0,m,,,,
0,41,4.7,-5.5,Rhamnosides (Rutin),Rutin,C05625,0,m,,,,
0,42,5,-10,L-Ascorbate,ASCB_L,C00072,0,m,6,,,
0,43,5,0,D-Glucose-1P,G1P,C00103,1,m,0,,,
0,44,5,1,D-Gluconate,GLCN,C00257,1,m,2,,,
0,45,5,2,"D-Glucono-1,5-lactone",Glu15lac,C00198,1,m,2,,,
0,46,5.3,-8,UDP-L-Arabinose,UDP-L-Arabinose,C00935,0,m,67|61,,,
0,47,5.3,-6.4,UDP-a-D-Xylose,UDP-a-D-Xylose,C00190,0,m,,,,
0,48,5.5,-0.8,"a-D-Glucose-1,6P2",aG16P,C01231,0,m,61,,,
0,49,5.7,-5.4,2-Dehydro-3-deoxy-D-gluconate,2DDGLCN,C00204,0,m,2,,,
0,50,5.8,-4.4,Pyruvate,PYR,C00022,1,m,2,,,
0,51,6,-10,L-Dehydroascorbate,L-Dehydroascorbate,C05422,1,m,6,,,
0,52,6,-9,"2,3-Dioxo-L-Gulonate (2,3-Diketo-L-gulonate)","2,3-Dioxo-L-Gulonate",C04575,0,m,3|6,identification based on map 3,,
0,53,5.8,-7.2,Pentosans,Pentosans,C06016,0,m,,,C02352,
0,54,6,-3.4,2-Dehydro-3-deoxy-D-gluconate-6P,2DDG6P,C04442,0,m,2,,,
0,55,6,-2,D-Gluconate-6P,6PGC,C00345,1,m,2,,,
0,56,6,-1,"D-Glucono-1,5-lactone-6P",6PGL,C01236,0,m,2,,,
0,57,6,0,D-Glucose-6P,G6P,C00092,1,m,0,,,
0,58,6,2,D-Glucose,GLC_D,C00031,1,m, ,,,
0,59,6.2,-8,L-Arabinose,ARAB_L,C00259,0,m,3|67,,,
0,60,6.2,-6.4,D-Xylose,XYL-D,C00181,0,m,3,,,
0,61,6.2,-4.4,Glyceraldehyde-3P,G3P,C00661,1,m,0,,,
0,62,6.8,-9.1,L-Lyxonate,L-Lyxonate,C05412,0,m,6,,,
0,63,6.8,-10.2,L-Threonate,L-Threonate,C01620,0,m,6,,,
0,64,6.8,-9.8,Oxalate,OXA,C00209,1,sm,,,,
0,65,7,-8,L-Arabinitol,L-Arabinitol,C00532,0,m,3,,,
0,66,7,-6.4,Xylitol,Xylitol,C00379,0,m,3,,,
0,67,7,-5.4,D-Xylulose,XYLU-D,C00310,0,m,3,,,
0,68,6.6,-4.4,D-Ribitol,Ribitol,C00474,0,m,3,,,
0,69,6.6,-3.4,D-Ribulose,Ribl-D,C00309,0,m,3,,,
0,70,6.6,1,a-D-Mannose-6P,MAN6P,C00275,0,m,4,,,
0,71,6.6,2,D-Mannose,MAN,C00159,0,m,4,,,
0,72,6.6,2.55,D-Sorbitol,SBT_D,C00794,0,m,4,,,
0,73,6.8,-8.9,L-Xylonate,L-Xylonate,C05411,0,m,6,,,
0,74,6.95,-2,D-Ribulose-5P,RU5P_D,C00199,1,m,2,,,
0,75,7,-1,D-arabino-hex-3-ulose 6-phosphate,D-arabino-hex-3-ulose 6-phosphate,C06019,0,m,,,,
0,76,7,0,B-D-Fructose-6P,F6P,C00085,1,m,0,,,
0,77,7.1,-4.4,Acetate,AC,C00033,1,m,0,,,
0,78,7.3,-3.4,Acetyl phosphate,ACTP,C00227,1,m,,,,
0,79,7.4,2,D-Fructose,FRU,C00095,1,m,0,,,
