Pathway ID,Reaction KEGG ID
0,R00014
0,R00200
0,R00229
0,R00235
0,R00341
0,R00431
0,R00658
0,R00703
0,R00710
0,R00711
0,R00726
0,R00746
0,R00754
0,R00755
0,R00947
0,R00959
0,R00960
0,R01015
0,R01058
0,R01061
0,R01063
0,R01070
0,R01196
0,R01512
0,R01516
0,R01518
0,R01600
0,R01602
0,R01662
0,R01786
0,R01788
0,R02187
0,R02189
0,R02569
0,R02738
0,R02739
0,R02740
0,R03270
0,R03321
0,R04394
0,R04779
0,R04780
0,R05132
0,R05133
0,R05134
0,R05198
0,R07159
0,R07618
0,R09084
0,R09085
0,R09086
0,R09127
0,R09532
1,R00014
1,R00268
1,R00341
1,R00342
1,R00344
1,R00351
1,R00352
1,R00361
1,R00405
1,R00431
1,R00432
1,R00621
1,R00709
1,R00726
1,R00727
1,R01082
1,R01196
1,R01197
1,R01325
1,R01899
1,R01900
1,R02164
1,R02569
1,R02570
1,R03270
1,R03316
1,R07618
1,R10343
2,R00305
2,R01049
2,R01051
2,R01056
2,R01057
2,R01058
2,R01066
2,R01070
2,R01519
2,R01520
2,R01521
2,R01522
2,R01528
2,R01529
2,R01538
2,R01541
2,R01544
2,R01621
2,R01641
2,R01737
2,R01739
2,R01741
2,R01827
2,R01830
2,R02032
2,R02034
2,R02035
2,R02036
2,R02658
2,R02736
2,R02739
2,R02740
2,R02749
2,R02750
2,R04779
2,R04780
2,R05338
2,R05605
2,R06620
2,R06836
2,R06837
2,R07147
2,R08570
2,R08571
2,R08572
2,R09084
2,R09780
2,R10324
2,R10407
2,R10408
2,R10615
3,R00264
3,R00286
3,R00289
3,R01381
3,R01383
3,R01429
3,R01430
3,R01431
3,R01432
3,R01476
3,R01478
3,R01481
3,R01482
3,R01524
3,R01525
3,R01526
3,R01529
3,R01540
3,R01542
3,R01639
3,R01758
3,R01759
3,R01761
3,R01782
3,R01785
3,R01892
3,R01895
3,R01896
3,R01898
3,R01901
3,R01902
3,R01903
3,R01904
3,R01905
3,R01906
3,R01982
3,R01983
3,R02360
3,R02361
3,R02362
3,R02427
3,R02429
3,R02439
3,R02441
3,R02454
3,R02555
3,R02637
3,R02639
3,R02640
3,R02921
3,R03244
3,R04382
3,R04383
3,R04515
3,R04784
3,R05604
3,R05606
3,R05831
3,R05850
3,R07125
3,R07127
3,R07134
3,R07143
3,R07144
3,R07413
3,R07676
3,R09186
3,R09477
3,R10532
3,R10550
3,R10563
3,R10565
4,R00865
4,R00866
4,R00867
4,R00868
4,R00870
4,R00872
4,R00875
4,R00877
4,R00878
4,R00879
4,R00880
4,R00881
4,R00883
4,R00885
4,R00887
4,R00888
4,R00890
4,R01015
4,R01059
4,R01070
4,R01326
4,R01332
4,R01787
4,R01818
4,R01819
4,R01951
4,R02071
4,R02073
4,R02167
4,R02261
4,R02262
4,R02263
4,R02437
4,R02438
4,R02568
4,R02630
4,R02677
4,R02703
4,R02704
4,R02730
4,R02731
4,R02732
4,R02925
4,R03014
4,R03129
4,R03161
4,R03163
4,R03232
4,R03234
4,R03241
4,R03396
4,R03397
4,R03398
4,R03399
4,R03576
4,R03688
4,R03706
4,R03772
4,R03774
4,R03942
4,R04076
4,R04779
4,R04780
4,R05607
4,R05692
4,R05768
4,R05790
4,R05816
4,R05820
4,R08926
4,R09030
4,R09031
4,R09666
4,R10689
4,R10690
4,R10691
5,R00289
5,R00291
5,R00502
5,R00503
5,R00505
5,R00506
5,R00801
5,R00955
5,R00959
5,R01064
5,R01069
5,R01092
5,R01093
5,R01094
5,R01095
5,R01096
5,R01097
5,R01098
5,R01101
5,R01103
5,R01104
5,R01105
5,R01192
5,R01194
5,R01329
5,R01678
5,R01786
5,R01788
5,R02410
5,R02411
5,R02926
5,R02927
5,R02928
5,R03033
5,R03034
5,R03236
5,R03237
5,R03238
5,R03239
5,R03240
5,R03256
5,R03387
5,R03418
5,R03634
5,R03635
5,R04393
5,R05168
5,R05549
5,R05570
5,R05571
5,R08365
5,R08366
5,R08367
5,R08544
5,R10604
5,R10616
5,R10619
6,R00068
6,R00095
6,R00264
6,R00286
6,R00640
6,R00643
6,R00644
6,R00645
6,R00646
6,R00647
6,R00889
6,R01108
6,R01184
6,R01335
6,R01381
6,R01476
6,R01481
6,R01483
6,R01757
6,R01784
6,R02278
6,R02279
6,R02522
6,R02526
6,R02637
6,R02639
6,R02752
6,R02754
6,R02933
6,R02957
6,R03183
6,R03184
6,R03185
6,R03186
6,R03244
6,R03277
6,R03733
6,R04375
6,R04515
6,R04784
6,R04785
6,R05608
6,R05850
6,R07125
6,R07127
6,R07671
6,R07672
6,R07673
6,R07674
6,R07675
6,R07676
6,R07677
6,R07678
6,R07679
6,R07680
6,R08056
6,R08615
7,R00742
7,R01280
7,R01624
7,R01626
7,R01706
7,R02663
7,R02814
7,R03175
7,R03370
7,R04014
7,R04098
7,R04355
7,R04428
7,R04429
7,R04430
7,R04533
7,R04534
7,R04535
7,R04536
7,R04537
7,R04543
7,R04544
7,R04566
7,R04568
7,R04724
7,R04725
7,R04726
7,R04952
7,R04953
7,R04954
7,R04955
7,R04956
7,R04957
7,R04958
7,R04959
7,R04960
7,R04961
7,R04962
7,R04963
7,R04964
7,R04965
7,R04966
7,R04967
7,R04968
7,R04969
7,R04970
7,R05188
7,R05190
7,R07639
7,R07762
7,R07763
7,R07764
7,R07765
7,R08157
7,R08158
7,R08159
7,R08161
7,R08162
7,R08163
7,R10700
7,R10707
7,R10714
8,R00385
8,R00391
8,R01177
8,R01274
8,R01278
8,R01778
8,R02685
8,R03776
8,R03778
8,R03856
8,R03858
8,R03989
8,R03991
8,R04170
8,R04737
8,R04738
8,R04739
8,R04740
8,R04741
8,R04742
8,R04743
8,R04744
8,R04745
8,R04746
8,R04747
8,R04748
8,R04749
8,R04753
8,R06985
8,R07162
8,R09450
8,R10825
8,R10826
8,R10827
8,R10828
9,R00238
9,R00623
9,R00631
9,R00638
9,R00639
9,R01175
9,R01177
9,R01279
9,R01280
9,R01347
9,R01348
9,R01406
9,R01704
9,R01923
9,R01975
9,R02000
9,R02002
9,R02281
9,R02402
9,R02462
9,R02487
9,R03026
9,R03276
9,R03777
9,R03778
9,R03857
9,R03858
9,R03990
9,R03991
9,R04121
9,R04170
9,R04737
9,R04738
9,R04739
9,R04740
9,R04741
9,R04742
9,R04743
9,R04744
9,R04745
9,R04746
9,R04747
9,R04748
9,R04749
9,R04751
9,R04754
9,R04756
10,R00238
10,R00410
10,R01360
10,R01361
10,R01366
10,R01978
11,R01999
11,R02042
11,R02620
11,R09106
11,R09448
11,R09451
11,R09452
11,R09453
11,R09454
11,R09455
11,R09456
11,R09457
11,R09458
11,R09459
11,R09460
11,R09461
11,R09462
11,R09463
11,R09464
11,R09465
11,R09466
11,R09467
11,R09468
11,R09469
11,R09470
11,R09474
12,R00702
12,R01451
12,R01456
12,R01457
12,R01461
12,R01462
12,R02116
12,R02692
12,R02872
12,R02874
12,R03199
12,R03200
12,R03310
12,R03311
12,R03353
12,R03610
12,R03611
12,R03677
12,R03689
12,R03724
12,R03775
12,R04427
12,R04667
12,R04804
12,R05639
12,R05640
12,R05641
12,R05703
12,R05731
12,R05776
12,R07215
12,R07481
12,R07482
12,R07483
12,R07484
12,R07485
12,R07486
12,R07487
12,R07488
12,R07489
12,R07490
12,R07491
12,R07492
12,R07493
12,R07494
12,R07495
12,R07496
12,R07497
12,R07498
12,R07499
12,R07505
12,R07506
12,R07507
12,R07509
12,R09515
12,R09516
13,R01463
13,R02794
13,R02797
13,R03718
13,R03719
13,R03720
13,R03974
13,R03975
13,R03977
13,R04263
13,R04806
13,R04807
13,R04808
13,R04809
13,R04810
13,R04811
13,R04812
13,R04813
13,R04817
13,R04818
13,R04819
13,R04823
13,R04824
13,R04825
13,R04826
13,R05835
13,R07207
13,R07208
13,R07209
13,R07218
13,R07296
13,R07372
13,R08505
13,R08721
13,R08723
13,R08724
13,R08725
13,R08726
13,R08727
13,R08728
13,R08733
13,R08734
13,R08735
13,R08738
13,R08739
13,R08740
13,R08743
13,R08744
13,R08745
13,R08758
13,R08759
13,R08760
13,R08761
15,R00734
15,R01301
15,R01302
15,R01304
15,R01616
15,R01717
15,R02175
15,R02253
15,R02521
15,R02964
15,R03336
15,R03511
15,R03816
15,R04030
15,R04031
15,R04711
15,R04982
15,R04983
15,R04984
15,R04985
15,R04986
15,R04987
15,R04988
15,R04989
15,R04990
15,R04993
15,R05000
15,R05144
15,R05454
15,R05455
15,R05614
15,R05615
15,R05616
15,R05617
15,R06146
15,R06858
15,R06859
15,R06865
15,R06866
15,R07235
15,R07236
