Abbrev,Rxn_Name,Equation,Subsystem,Gene(s),References
13BGH,"Endo-1,3-beta-glucan glucohydrase",[c] : 13BDglcn + h2o --> glc-D,Starch and Sucrose Metabolism,PAS_chr1-4_0426,
13BGHe,"Exo-1,3-beta-glucan glucohydrase",[e] : 13BDglcn + h2o --> glc-D,Starch and Sucrose Metabolism,"PAS_chr2-1_0454, PAS_chr4_0692",
13GS,"1,3-beta-glucan synthase",[c] : udpg --> 13BDglcn + h + udp,Alternate Carbon Metabolism,"PAS_chr3_0306, PAS_chr1-3_0225+PAS_chr3_0602, PAS_chr2-1_0263+PAS_chr3_0602, PAS_chr2-1_0661+PAS_chr3_0602, PAS_chr1-3_0226, PAS_chr3_0184",
16GS,"1,6-beta-glucan synthase",[c] : udpg --> 16BDglcn + h + udp,Alternate Carbon Metabolism,"PAS_chr4_0508, PAS_chr3_0929",
2DDA7Ptm,2-Dehydro-3-deoxy-D-arabino-heptonate7-phohsphate mitochondrial transport via diffusion,2dda7p[c] <==> 2dda7p[m],"Transport, Mitochondrial",NA,
2DHPtm,2-Dehydropantoate mitochondrial transport,2dhp[c] <==> 2dhp[m],"Transport, Mitochondrial",NA,
2DOXG6PP,2-deoxyglucose-6-phosphatase,[c] : 2doxg6p + h2o --> 2dglc + pi,Other,PAS_chr2-1_0016,
2HMHMBQMTm,"2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial",[m] : 2hpmhmbq + amet --> ahcys + h + q6,Quinone Biosynthesis,PAS_chr3_0169,
2HP6MPMOm,"2-Hexaprenyl-6-methoxyphenol monooxygenase, mitochondrial",[m] : 2hp6mp + o2 --> 2hp6mbq + h2o,Quinone Biosynthesis,NA,
2HPMBQMTm,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial",[m] : 2hp6mbq + amet --> 2hpmmbq + ahcys + h,Quinone Biosynthesis,PAS_chr2-1_0763,
2HPMMBQMOm,"2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial",[m] : 2hpmmbq + (0.5) o2 --> 2hpmhmbq,Quinone Biosynthesis,PAS_chr1-1_0169,
2MBALDt,2-Methylbutanal transport (extracellular),2mbald[c] <==> 2mbald[e],"Transport, Extracellular",NA,
2MBALDtm,2-Methylbutanal transport (mitochondrial),2mbald[c] <==> 2mbald[m],"Transport, Mitochondrial",NA,
2MBTOHt,2-methyl-1-butanol transport (extracellular),2mbtoh[c] <==> 2mbtoh[e],"Transport, Extracellular",NA,
2MBTOHtm,2-methyl-1-butanol transport (mitochondrial),2mbtoh[c] <==> 2mbtoh[m],"Transport, Mitochondrial",NA,
2MPPALt,2-methylpropanal transport (extracellular),2mppal[c] <==> 2mppal[e],"Transport, Extracellular",NA,
2MPPALtm,2-methylpropanal transport (mitochondrial),2mppal[c] <==> 2mppal[m],"Transport, Mitochondrial",NA,
2OBUTtm,2obut transporter (mitochondrial),2obut[c] <==> 2obut[m],"Transport, Mitochondrial",NA,
2OXOADPtim,2-oxoadipate transport out of mitochondria via diffusion,2oxoadp[m] --> 2oxoadp[c],"Transport, Mitochondrial",NA,
2PHETOHt,2-phenylethanol reversible transport,2phetoh[e] <==> 2phetoh[c],"Transport, Extracellular",NA,
2PHETOHtm,"2-phenylethanol reversible transport, mitochondrial",2phetoh[m] <==> 2phetoh[c],"Transport, Mitochondrial",NA,
34HPLFM,3-(4-hydroxyphenyl-)lactate formation,[m] : 34hpp + h + nadh --> 34hpl + nad,Quinone Biosynthesis,NA,
34HPPt2m,3-(4-hydroxyphenyl)pyruvate mitochondrial transport via proton symport,34hpp[c] + h[c] <==> 34hpp[m] + h[m],"Transport, Mitochondrial",NA,
3C3HMPt,"2-Isopropylmalate transport, diffusion",3c3hmp[c] <==> 3c3hmp[e],"Transport, Extracellular",NA,
3C3HMPtm,"2-Isopropylmalate transport, diffusion, mitochondrial",3c3hmp[c] <==> 3c3hmp[m],"Transport, Mitochondrial",NA,
3DH5HPBMTm,"S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase, mitochondrial",[m] : 3dh5hpb + amet --> 3hph5mb + ahcys + h,Quinone Biosynthesis,PAS_chr3_0169,
3DH5HPBtm,"3-Hexaprenyl-4,5-dihydroxybenzoate transport, mitochondrial",3dh5hpb[c] <==> 3dh5hpb[m],"Transport, Mitochondrial",NA,
3DSPHR,3-Dehydrosphinganine reductase,[c] : 3dsphgn + h + nadph --> nadp + sphgn,Sphingolipid Metabolism,PAS_chr1-4_0149,
3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",[c] : 3hanthrn + o2 --> cmusa + h,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",PAS_chr2-2_0311,
3HPH5MBDCm,"3-Hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase, mitochondrial",[m] : 3hph5mb --> 2hp6mp + co2,Quinone Biosynthesis,NA,
3IPM3MT,3-Isopropylmalate 3-methyltransferase,[c] : 3c2hmp + amet --> 3ipmmest + ahcys,Complex Alcohol Metabolism,PAS_chr3_0330,
3MBALDt,3-methylbutanal transport (extracellular),3mbald[c] <==> 3mbald[e],"Transport, Extracellular",NA,
3MBALDtm,3-methylbutanal transport (mitochondrial),3mbald[c] <==> 3mbald[m],"Transport, Mitochondrial",NA,
3MOBDC,3-Methyl-2-oxobutanoate decarboxylase,[c] : 3mob + h --> 2mppal + co2,Complex Alcohol Metabolism,PAS_chr3_0188,
3MOBtm,"3-methyl-2-oxobutanoate transport, diffusion, mitochondrial",3mob[c] <==> 3mob[m],"Transport, Mitochondrial",NA,
3MOPDC,3-Methyl-2-oxopentanoate decarboxylase,[c] : 3mop + h --> 2mbald + co2,Complex Alcohol Metabolism,"PAS_chr3_0188, PAS_chr3_0095",
3MOPt,3mop reversible trasport,3mop[e] <==> 3mop[c],"Transport, Extracellular",NA,
3MOPtm,"3-Methyl-2-oxopentanoate transport, diffusion, mitochondrial",3mop[c] <==> 3mop[m],"Transport, Mitochondrial",NA,
3OPHB_5tm,3-Octaprenyl-4-hydroxybenzoate mitochondrial transport,3ophb_5[c] <==> 3ophb_5[m],"Transport, Mitochondrial",NA,
3OPHB5Hm,"3-Hexaprenyl-4,5-dihydroxybenzoate hydroxylase, mitochondrial",[c] : 3ophb_5 + (0.5) o2 --> 3dh5hpb,Quinone Biosynthesis,NA,
4ABZt,4-Aminobenzoate mitochondrial transport via diffusion,4abz[c] <==> 4abz[e],"Transport, Extracellular",NA,
4ABZtm,4-Aminobenzoate mitochondrial transport via diffusion,4abz[c] <==> 4abz[m],"Transport, Mitochondrial",NA,
4HBZCOAFm,4-hydroxybenzoyl-CoA formation,[m] : coa + coucoa + h2o + nad --> 4hbzcoa + accoa + h + nadh,Quinone Biosynthesis,NA,
4HBZFm,4-hydroxybenzoate formation,[m] : 4hbzcoa + h2o --> 4hbz + coa + h,Quinone Biosynthesis,NA,
4HBZtm,4-Hydroxybenzoate mitochondrial transport,4hbz[c] <==> 4hbz[m],"Transport, Mitochondrial",NA,
4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial",[m] : 4hglusa + h2o + nad <==> e4hglu + (2) h + nadh,Arginine and Proline Metabolism,PAS_chr2-2_0496,
4HTHRS,4-Hydroxy-L-threonine synthase,[c] : h2o + phthr --> 4hthr + pi,Threonine and Lysine Metabolism,PAS_chr2-1_0269,
4MOPDC,4-Methyl-2-oxopentanoate decarboxylase,[c] : 4mop + h --> 3mbald + co2,Complex Alcohol Metabolism,"PAS_chr3_0188, PAS_chr3_0095",
